country,original_title
USA,3469
UK,667
Germany,318
France,305
Canada,304
Australia,119
Japan,76
Italy,71
Mexico,61
Spain,55
Ireland,40
China,38
India,36
New Zealand,29
Czech Republic,26
Hong Kong,25
Belgium,25
Netherlands,23
United Arab Emirates,22
Switzerland,20
Hungary,17
South Africa,16
Denmark,12
Morocco,12
Sweden,10
Bulgaria,10
Luxembourg,10
Russia,10
Romania,9
Poland,8
Thailand,8
Austria,8
Taiwan,7
South Korea,6
Malta,6
Norway,6
West Germany,5
Argentina,5
Brazil,5
Finland,4
Turkey,3
Iceland,3
Tunisia,3
Isle Of Man,3
Chile,2
Saudi Arabia,2
Portugal,2
Israel,2
Philippines,2
Greece,2
Monaco,2
Soviet Union,1
Ukraine,1
Slovakia,1
Vietnam,1
Slovenia,1
Afghanistan,1
Singapore,1
Georgia,1
Angola,1
Bahamas,1
Bahrain,1
Colombia,1
Czechoslovakia,1
East Germany,1
Guatemala,1
Serbia,1
Jordan,1
Kenya,1
Liechtenstein,1
Algeria,1
Namibia,1
Qatar,1
Lithuania,1
