,director,release_year,profit
1420,James Cameron,2009,2544505847.0
1392,J.J. Abrams,2015,1868178225.0
1419,James Cameron,1997,1645034188.0
634,Colin Trevorrow,2015,1363528810.0
1469,James Wan,2015,1316249360.0
1954,Joss Whedon,2012,1299557910.0
855,David Yates,2011,1202817822.0
3559,Steven Spielberg,1993,1156365768.0
1955,Joss Whedon,2015,1125035767.0
524,Chris Buck,2013,1124219009.0
1557,Jennifer Lee,2013,1124219009.0
1365,Irwin Winkler,1995,1084279658.0
2842,Pierre Coffin,2015,1082730962.0
2083,Kyle Balda,2015,1082730962.0
2774,Peter Jackson,2003,1024888979.0
3354,Shane Black,2013,1015439994.0
2373,Michael Bay,2011,928746996.0
3282,Sam Mendes,2012,908561013.0
2841,Pierre Coffin,2013,894761885.0
550,Chris Renaud,2013,894761885.0
1242,Gore Verbinski,2006,865659812.0
2157,Lilly Wachowski,2003,863587912.0
2088,Lana Wachowski,2003,863587912.0
2130,Lee Unkrich,2010,863171911.0
531,Chris Columbus,2001,851475550.0
2773,Peter Jackson,2002,847287400.0
591,Christopher Nolan,2012,831041287.0
3679,Tim Burton,2010,825467110.0
589,Christopher Nolan,2008,816921825.0
1193,George Lucas,1999,809317558.0
499,Carlos Saldanha,2009,796686817.0
852,David Yates,2007,788212738.0
3553,Steven Spielberg,1982,782410554.0
2493,Mike Thurmeier,2012,782244782.0
3504,Steve Martino,2012,782244782.0
2772,Peter Jackson,2001,778368364.0
532,Chris Columbus,2002,776688482.0
2129,Lee Unkrich,2003,770625978.0
155,Andrew Stanton,2003,770625978.0
636,Conrad Vernon,2004,769838758.0
127,Andrew Adamson,2004,769838758.0
1999,Kelly Asbury,2004,769838758.0
2777,Peter Jackson,2012,767003568.0
1192,George Lucas,1977,764398007.0
2484,Mike Newell,2005,745921036.0
3166,Roger Allers,1994,743241776.0
3044,Rob Minkoff,1994,743241776.0
3187,Roland Emmerich,1996,741969268.0
1195,George Lucas,2005,737000000.0
1069,Francis Lawrence,2013,717423452.0
325,Bill Condon,2012,709000000.0
2778,Peter Jackson,2013,708400000.0
2779,Peter Jackson,2014,705119788.0
854,David Yates,2010,704305868.0
2372,Michael Bay,2009,686297228.0
853,David Yates,2009,683959197.0
3295,Sam Raimi,2002,682708551.0
2720,Pete Docter,2015,678708609.0
590,Christopher Nolan,2010,665500000.0
1243,Gore Verbinski,2007,661000000.0
562,Chris Weitz,2009,659827462.0
97,Alfonso CuarÃ³n,2004,659804554.0
3041,Rob Marshall,2011,641683000.0
2885,Raman Hui,2007,638958165.0
542,Chris Miller,2007,638958165.0
3283,Sam Mendes,2015,635674609.0
3226,Ron Howard,2006,633239851.0
3297,Sam Raimi,2007,632871626.0
2194,M. Night Shyamalan,1999,632806292.0
838,David Slade,2010,630491347.0
1978,Justin Lin,2013,628679850.0
1070,Francis Lawrence,2014,627100229.0
3143,Robert Zemeckis,1994,622945399.0
1145,Gary Ross,2012,616210692.0
99,Alfonso CuarÃ³n,2013,611392705.0
1436,James Gunn,2014,603312399.0
324,Bill Condon,2011,602171856.0
1010,Eric Darnell,2012,601921274.0
3748,Tom McGrath,2012,601921274.0
638,Conrad Vernon,2012,601921274.0
3566,Steven Spielberg,2008,601636033.0
2480,Mike Mitchell,2010,587600867.0
3296,Sam Raimi,2004,583766341.0
2349,Mel Gibson,2004,581899420.0
498,Carlos Saldanha,2006,580940780.0
3130,Robert Stromberg,2014,578410378.0
3192,Roland Emmerich,2009,569653595.0
128,Andrew Adamson,2005,568806957.0
2371,Michael Bay,2007,559709780.0
2838,Phyllida Lloyd,2008,557841637.0
3563,Steven Spielberg,2002,556487238.0
355,Bob Peterson,2009,556342744.0
2719,Pete Docter,2009,556342744.0
377,Brad Bird,2011,549713380.0
584,Christopher Miller,2014,547602306.0
2820,Phil Lord,2014,547602306.0
208,Anthony Russo,2014,544766572.0
1642,Joe Russo,2014,544766572.0
676,Dan Scanlon,2013,543559607.0
2979,Richard Marquand,1983,540350000.0
375,Brad Bird,2004,539442092.0
2324,Matt Reeves,2014,538200000.0
2225,Marc Webb,2012,537215857.0
581,Christopher McQuarrie,2015,532330139.0
3300,Sam Taylor-Johnson,2015,529651467.0
1194,George Lucas,2002,529398328.0
1361,Irvin Kershner,1980,520400000.0
3565,Steven Spielberg,2005,520098290.0
1558,Jennifer Yuh,2011,515692281.0
1240,Gore Verbinski,2003,515011224.0
626,Clint Eastwood,2014,510854436.0
2226,Marc Webb,2014,505717432.0
2262,Mark Osborne,2008,501744560.0
1838,John Stevenson,2008,501744560.0
1977,Justin Lin,2011,501137675.0
274,Barry Sonnenfeld,1997,499390539.0
3346,Seth MacFarlane,2012,499368315.0
473,Bryan Singer,2014,496000000.0
1071,Francis Lawrence,2015,490523427.0
185,Ang Lee,2012,489016565.0
3015,Ridley Scott,2015,487380321.0
923,Don Hall,2014,487105443.0
565,Chris Williams,2014,487105443.0
1570,Jerry Zucker,1990,483000000.0
1808,John Musker,1992,476050219.0
3213,Ron Clements,1992,476050219.0
2840,Pierre Coffin,2010,474513985.0
548,Chris Renaud,2010,474513985.0
2727,Peter Berg,2008,474029371.0
376,Brad Bird,2007,473722818.0
1478,Jan Pinkava,2007,473722818.0
3557,Steven Spielberg,1989,469306596.0
3363,Shawn Levy,2006,464480841.0
866,Dean DeBlois,2014,464123048.0
3549,Steven Spielberg,1975,463654000.0
527,Chris Columbus,1990,458684675.0
1008,Eric Darnell,2005,457680671.0
3745,Tom McGrath,2005,457680671.0
592,Christopher Nolan,2014,456752480.0
1009,Eric Darnell,2008,453900354.0
