,genres,release_year,profit
126,Animation,1992,476050219.0
455,Horror,1973,216653072.5
111,Animation,1961,211880014.0
112,Animation,1967,201843612.0
800,Western,1990,201104424.0
144,Animation,2010,196661682.59629628
373,Fantasy,1992,190307275.20000002
107,Adventure,2012,189520787.70866668
146,Animation,2012,176274922.65151513
567,Mystery,1995,174617688.09523812
457,Horror,1975,171759659.5
351,Family,2012,166178027.0972222
517,Music,1992,164637031.66666666
819,Western,2012,162684119.0
147,Animation,2013,160636009.55476192
129,Animation,1995,155759627.25
763,War,1991,155096164.0
142,Animation,2008,148391507.8148148
141,Animation,2007,147811837.08333334
149,Animation,2015,136556413.54444444
148,Animation,2014,134545735.40555558
145,Animation,2011,129612947.22380953
758,War,1985,128200216.0
702,Thriller,1975,127129964.0
352,Family,2013,126287257.26491228
331,Family,1992,121603010.58333333
349,Family,2010,119725667.74848485
56,Adventure,1961,117390007.0
795,Western,1974,116900000.0
70,Adventure,1975,116492118.5
109,Adventure,2014,113709495.60862069
687,Science Fiction,2015,112774128.04090907
108,Adventure,2013,112501530.91717172
350,Family,2011,111933694.84924243
77,Adventure,1982,111888543.75
647,Science Fiction,1975,111692319.0
75,Adventure,1980,110871669.33333333
393,Fantasy,2012,109317719.56333332
685,Science Fiction,2013,107898512.73583333
618,Romance,1994,106487443.5757576
309,Family,1961,106440007.0
383,Fantasy,2002,105957077.95925924
700,Thriller,1973,105443163.5
143,Animation,2009,105380950.31527777
354,Family,2015,105012014.88846153
621,Romance,1997,104002383.55555555
551,Mystery,1979,104000000.0
346,Family,2007,103724525.56078431
614,Romance,1990,103361046.71428572
534,Music,2011,103188238.125
382,Fantasy,2001,102123596.53030305
765,War,1993,102004648.25
322,Family,1982,101092996.875
110,Adventure,2015,100999771.14646465
392,Fantasy,2011,100052998.65877195
94,Adventure,1999,100012248.11805557
565,Mystery,1993,99479197.375
87,Adventure,1992,99333756.25555556
312,Family,1967,98671806.0
747,War,1965,97721910.0
355,Fantasy,1964,96272727.0
684,Science Fiction,2012,95379941.0884058
51,Action,2012,94050254.06341462
353,Family,2014,93905932.67738095
395,Fantasy,2014,92222287.22380956
802,Western,1992,92024683.5
394,Fantasy,2013,91302033.26874998
388,Fantasy,2007,91166462.695
334,Family,1995,90746931.97619048
562,Mystery,1990,90038091.33333334
782,War,2010,89977104.0
340,Family,2001,89398384.00333333
123,Animation,1989,88996746.25
347,Family,2008,88461256.47631578
592,Romance,1965,87614526.5
363,Fantasy,1982,87233066.56666666
138,Animation,2004,85419869.03333335
649,Science Fiction,1977,85140035.86111112
132,Animation,1998,85104656.125
328,Family,1989,84830959.97916666
54,Action,2015,84367670.23648648
686,Science Fiction,2014,84071970.10652174
106,Adventure,2011,82654684.796875
396,Fantasy,2015,80447913.90972222
16,Action,1977,79453203.91666667
654,Science Fiction,1982,78867656.66666667
768,War,1996,78674515.25
348,Family,2009,78341913.32391304
104,Adventure,2009,78165433.46029411
231,Crime,1995,77943338.99901962
72,Adventure,1977,77856516.78571427
806,Western,1998,77644261.5
665,Science Fiction,1993,77604206.94444445
500,Music,1965,77507143.0
311,Family,1965,77507143.0
505,Music,1976,77500000.0
68,Adventure,1973,77388918.0
102,Adventure,2007,77312888.45724638
329,Family,1990,76564460.65
677,Science Fiction,2005,76420864.83589743
513,Music,1987,75846276.5
384,Fantasy,2003,75833016.70119049
310,Family,1964,75636363.5
78,Adventure,1983,74195576.0
176,Comedy,1992,74090636.68725489
74,Adventure,1979,72888308.8
158,Comedy,1974,72362222.16666667
105,Adventure,2010,71957707.77903228
97,Adventure,2002,71891098.94
390,Fantasy,2009,71702807.19122806
157,Comedy,1973,69511796.44444445
287,Drama,1994,69003345.25583333
385,Fantasy,2004,68797894.77833334
661,Science Fiction,1989,68463739.14583333
53,Action,2014,68387918.71174242
682,Science Fiction,2010,68137536.13111112
84,Adventure,1989,67075898.28205128
88,Adventure,1993,66243953.67380953
343,Family,2004,66224714.120000005
19,Action,1980,65938288.8
34,Action,1995,65565780.32738095
506,Music,1977,65319055.5
692,Thriller,1965,65097829.0
5,Action,1965,65097829.0
60,Adventure,1965,65097829.0
651,Science Fiction,1979,64666045.083333336
62,Adventure,1967,64213484.93333334
20,Action,1981,63914778.583333336
28,Action,1989,63897072.71875
706,Thriller,1979,63870397.125
370,Fantasy,1989,63733286.23333333
128,Animation,1994,62557386.0
525,Music,2002,62423697.833333336
266,Drama,1973,62147533.26190476
371,Fantasy,1990,62140335.635416664
668,Science Fiction,1996,62068287.24242425
22,Action,1983,61445709.9
436,History,2001,61387823.44444445
208,Crime,1972,61370982.833333336
139,Animation,2005,61221066.19523809
504,Music,1975,60721413.666666664
4,Action,1964,60700000.0
59,Adventure,1964,60700000.0
91,Adventure,1996,60506678.37745099
391,Fantasy,2010,60091314.48499999
76,Adventure,1981,60071993.916666664
822,Western,2015,58421736.46666667
38,Action,1999,57844492.44933334
722,Thriller,1995,57681350.24404762
98,Adventure,2003,57643954.7594203
652,Science Fiction,1980,57633954.8
125,Animation,1991,57139438.416666664
131,Animation,1997,56952096.36666667
96,Adventure,2001,56287451.87916666
756,War,1982,56176095.75
258,Drama,1965,55743017.666666664
35,Action,1996,55563942.65208333
151,Comedy,1961,55495003.5
426,History,1991,55135166.0
407,History,1962,55000000.0
744,War,1962,55000000.0
103,Adventure,2008,54737727.52999999
100,Adventure,2005,54481792.56868687
272,Drama,1979,54371202.71428572
674,Science Fiction,2002,54197483.94166666
52,Action,2013,53745944.52312924
140,Animation,2006,53711833.16388888
773,War,2001,53219719.458333336
683,Science Fiction,2011,52947650.23985508
561,Mystery,1989,52716056.5
230,Crime,1994,52554249.32619049
755,War,1979,51971511.0
378,Fantasy,1997,51830122.208333336
113,Animation,1970,51675257.0
314,Family,1970,51675257.0
333,Family,1994,51411683.277777776
376,Fantasy,1995,51212674.037037045
337,Family,1998,50900322.84375
433,History,1998,50808295.53333333
181,Comedy,1997,50658945.8
342,Family,2003,50590776.313095234
499,Music,1964,50479858.888888896
