,original_title,release_year,profit
340,Avatar,2009,2544505847.0
3,Star Wars: The Force Awakens,2015,1868178225.0
1715,Titanic,1997,1645034188.0
0,Jurassic World,2015,1363528810.0
4,Furious 7,2015,1316249360.0
1440,The Avengers,2012,1299557910.0
1070,Harry Potter and the Deathly Hallows: Part 2,2011,1202817822.0
14,Avengers: Age of Ultron,2015,1125035767.0
1803,Frozen,2013,1124219009.0
2777,The Net,1995,1084279658.0
8,Minions,2015,1082730962.0
1596,The Lord of the Rings: The Return of the King,2003,1024888979.0
1806,Iron Man 3,2013,1015439994.0
1190,Transformers: Dark of the Moon,2011,928746996.0
1444,Skyfall,2012,908561013.0
1815,Despicable Me 2,2013,894761885.0
2179,Pirates of the Caribbean: Dead Man's Chest,2006,865659812.0
519,Toy Story 3,2010,863171911.0
3561,Jurassic Park,1993,857100000.0
795,Harry Potter and the Philosopher's Stone,2001,851475550.0
1259,The Lord of the Rings: The Two Towers,2002,847287400.0
1442,The Dark Knight Rises,2012,831041287.0
510,Alice in Wonderland,2010,825467110.0
911,The Dark Knight,2008,816921825.0
681,Star Wars: Episode I - The Phantom Menace,1999,809317558.0
350,Ice Age: Dawn of the Dinosaurs,2009,796686817.0
2514,Harry Potter and the Order of the Phoenix,2007,788212738.0
3100,E.T. the Extra-Terrestrial,1982,782410554.0
1454,Ice Age: Continental Drift,2012,782244782.0
794,The Lord of the Rings: The Fellowship of the Ring,2001,778368364.0
1260,Harry Potter and the Chamber of Secrets,2002,776688482.0
1602,Finding Nemo,2003,770625978.0
2358,Shrek 2,2004,769838758.0
1446,The Hobbit: An Unexpected Journey,2012,767003568.0
321,Star Wars,1977,764398007.0
2021,Harry Potter and the Goblet of Fire,2005,745921036.0
1384,The Lion King,1994,743241776.0
2914,Independence Day,1996,741969268.0
2027,Star Wars: Episode III - Revenge of the Sith,2005,737000000.0
1808,The Hunger Games: Catching Fire,2013,717423452.0
1487,The Twilight Saga: Breaking Dawn - Part 2,2012,709000000.0
1812,The Hobbit: The Desolation of Smaug,2013,708400000.0
162,The Hobbit: The Battle of the Five Armies,2014,705119788.0
512,Harry Potter and the Deathly Hallows: Part 1,2010,704305868.0
425,Transformers: Revenge of the Fallen,2009,686297228.0
343,Harry Potter and the Half-Blood Prince,2009,683959197.0
1264,Spider-Man,2002,682708551.0
9,Inside Out,2015,678708609.0
508,Inception,2010,665500000.0
2513,Pirates of the Caribbean: At World's End,2007,661000000.0
359,The Twilight Saga: New Moon,2009,659827462.0
2343,Harry Potter and the Prisoner of Azkaban,2004,659804554.0
1071,Pirates of the Caribbean: On Stranger Tides,2011,641683000.0
2535,Shrek the Third,2007,638958165.0
10,Spectre,2015,635674609.0
2182,The Da Vinci Code,2006,633239851.0
2520,Spider-Man 3,2007,632871626.0
684,The Sixth Sense,1999,632806292.0
546,The Twilight Saga: Eclipse,2010,630491347.0
1949,Fast & Furious 6,2013,628679850.0
161,The Hunger Games: Mockingjay - Part 1,2014,627100229.0
1383,Forrest Gump,1994,622945399.0
