,imdb_id,original_title,avg_vote,release_year
1382,tt0111161,The Shawshank Redemption,9.3,1994
2482,tt0068646,The Godfather,9.2,1972
911,tt0468569,The Dark Knight,9.0,2008
3427,tt0071562,The Godfather: Part II,9.0,1974
1596,tt0167260,The Lord of the Rings: The Return of the King,8.9,2003
3560,tt0108052,Schindler's List,8.9,1993
1381,tt0110912,Pulp Fiction,8.9,1994
1383,tt0109830,Forrest Gump,8.8,1994
508,tt1375666,Inception,8.8,2010
794,tt0120737,The Lord of the Rings: The Fellowship of the Ring,8.8,2001
678,tt0137523,Fight Club,8.8,1999
3440,tt0073486,One Flew Over the Cuckoo's Nest,8.7,1975
3477,tt0099685,Goodfellas,8.7,1990
2490,tt0080684,The Empire Strikes Back,8.7,1980
679,tt0133093,The Matrix,8.7,1999
1259,tt0167261,The Lord of the Rings: The Two Towers,8.7,2002
3283,tt0102926,The Silence of the Lambs,8.6,1991
157,tt0816692,Interstellar,8.6,2014
3130,tt0120815,Saving Private Ryan,8.6,1998
683,tt0120689,The Green Mile,8.6,1999
2753,tt0114369,Se7en,8.6,1995
321,tt0076759,Star Wars,8.6,1977
2755,tt0114814,The Usual Suspects,8.5,1995
1981,tt0088763,Back to the Future,8.5,1985
3267,tt0103064,Terminator 2: Judgment Day,8.5,1991
1268,tt0253474,The Pianist,8.5,2002
178,tt2582802,Whiplash,8.5,2014
1384,tt0110357,The Lion King,8.5,1994
2995,tt0172495,Gladiator,8.5,2000
2189,tt0482571,The Prestige,8.5,2006
3538,tt0054215,Psycho,8.5,1960
3140,tt0120586,American History X,8.5,1998
2187,tt0407887,The Departed,8.5,2006
2885,tt0082971,Raiders of the Lost Ark,8.4,1981
1442,tt1345836,The Dark Knight Rises,8.4,2012
2668,tt0078788,Apocalypse Now,8.4,1979
2491,tt0081505,The Shining,8.4,1980
912,tt0910970,WALLÂ·E,8.4,2008
3457,tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4,1964
2996,tt0209144,Memento,8.4,2000
2667,tt0078748,Alien,8.4,1979
424,tt1187043,3 Idiots,8.4,2009
1443,tt1853728,Django Unchained,8.4,2012
3543,tt0075314,Taxi Driver,8.3,1976
519,tt0435761,Toy Story 3,8.3,2010
3700,tt0070735,The Sting,8.3,1973
2725,tt0086250,Scarface,8.3,1983
2724,tt0086190,Return of the Jedi,8.3,1983
3373,tt0093058,Full Metal Jacket,8.3,1987
3647,tt0090605,Aliens,8.3,1986
341,tt0361748,Inglourious Basterds,8.3,2009
2756,tt0112573,Braveheart,8.3,1995
2754,tt0114709,Toy Story,8.3,1995
2689,tt0086879,Amadeus,8.3,1984
2832,tt0105236,Reservoir Dogs,8.3,1992
1722,tt0119217,Good Will Hunting,8.3,1997
3418,tt0062622,2001: A Space Odyssey,8.3,1968
3541,tt0053604,The Apartment,8.3,1960
3023,tt0180093,Requiem for a Dream,8.3,2000
3463,tt0066921,A Clockwork Orange,8.3,1971
2999,tt0208092,Snatch,8.3,2000
3450,tt0056172,Lawrence of Arabia,8.3,1962
680,tt0169547,American Beauty,8.3,1999
2346,tt0338013,Eternal Sunshine of the Spotless Mind,8.3,2004
3216,tt0097576,Indiana Jones and the Last Crusade,8.2,1989
2495,tt0081398,Raging Bull,8.2,1980
1809,tt0993846,The Wolf of Wall Street,8.2,2013
2765,tt0113277,Heat,8.2,1995
3532,tt0055031,Judgment at Nuremberg,8.2,1961
3645,tt0057115,The Great Escape,8.2,1963
2769,tt0112641,Casino,8.2,1995
2846,tt0105695,Unforgiven,8.2,1992
3175,tt0120735,"Lock, Stock and Two Smoking Barrels",8.2,1998
3428,tt0071315,Chinatown,8.2,1974
2022,tt0372784,Batman Begins,8.2,2005
1124,tt1291584,Warrior,8.2,2011
3316,tt0095016,Die Hard,8.2,1988
2533,tt0469494,There Will Be Blood,8.2,2007
3451,tt0056592,To Kill a Mockingbird,8.2,1962
1741,tt0119488,L.A. Confidential,8.2,1997
2024,tt0434409,V for Vendetta,8.2,2005
344,tt1049413,Up,8.2,2009
807,tt0268978,A Beautiful Mind,8.2,2001
516,tt1130884,Shutter Island,8.2,2010
3442,tt0071853,Monty Python and the Holy Grail,8.2,1975
3634,tt0061512,Cool Hand Luke,8.1,1967
3544,tt0075148,Rocky,8.1,1976
34,tt3170832,Room,8.1,2015
2916,tt0117951,Trainspotting,8.1,1996
2517,tt0477348,No Country for Old Men,8.1,2007
2917,tt0116282,Fargo,8.1,1996
3099,tt0083658,Blade Runner,8.1,1982
372,tt1028532,Hachi: A Dog's Tale,8.1,2009
2526,tt0758758,Into the Wild,8.1,2007
28,tt1895587,Spotlight,8.1,2015
3554,tt0074958,Network,8.1,1976
9,tt2096673,Inside Out,8.1,2015
167,tt2267998,Gone Girl,8.1,2014
2499,tt0080678,The Elephant Man,8.1,1980
3453,tt0056217,The Man Who Shot Liberty Valance,8.1,1962
924,tt1205489,Gran Torino,8.1,2008
3595,tt0107207,In the Name of the Father,8.1,1993
1602,tt0266543,Finding Nemo,8.1,2003
177,tt2278388,The Grand Budapest Hotel,8.1,2014
3731,tt0077416,The Deer Hunter,8.1,1978
3220,tt0097165,Dead Poets Society,8.1,1989
2708,tt0087884,"Paris, Texas",8.1,1984
2672,tt0079470,Life of Brian,8.1,1979
3561,tt0107290,Jurassic Park,8.1,1993
3382,tt0093779,The Princess Bride,8.1,1987
3455,tt0056241,The Miracle Worker,8.1,1962
1599,tt0266697,Kill Bill: Vol. 1,8.1,2003
2423,tt0395169,Hotel Rwanda,8.1,2004
2766,tt0112471,Before Sunrise,8.1,1995
3649,tt0091763,Platoon,8.1,1986
1070,tt1201607,Harry Potter and the Deathly Hallows: Part 2,8.1,2011
3129,tt0118715,The Big Lebowski,8.1,1998
1266,tt0264464,Catch Me If You Can,8.1,2002
515,tt0892769,How to Train Your Dragon,8.1,2010
684,tt0167404,The Sixth Sense,8.1,1999
1835,tt1392214,Prisoners,8.1,2013
236,tt3612616,Mommy,8.1,2014
874,tt0292490,Dil Chahta Hai,8.1,2001
1,tt1392190,Mad Max: Fury Road,8.1,2015
1817,tt2024544,12 Years a Slave,8.1,2013
3652,tt0092005,Stand by Me,8.1,1986
1830,tt1979320,Rush,8.1,2013
3125,tt0120382,The Truman Show,8.1,1998
2370,tt0405159,Million Dollar Baby,8.1,2004
3101,tt0084787,The Thing,8.1,1982
3444,tt0072684,Barry Lyndon,8.1,1975
3695,tt0070047,The Exorcist,8.0,1973
798,tt0198781,"Monsters, Inc.",8.0,2001
797,tt0246578,Donnie Darko,8.0,2001
511,tt0947798,Black Swan,8.0,2010
3483,tt0099348,Dances with Wolves,8.0,1990
171,tt1877832,X-Men: Days of Future Past,8.0,2014
796,tt0166924,Mulholland Drive,8.0,2001
164,tt2084970,The Imitation Game,8.0,2014
3321,tt0095953,Rain Man,8.0,1988
2348,tt0317705,The Incredibles,8.0,2004
3441,tt0073195,Jaws,8.0,1975
706,tt0129167,The Iron Giant,8.0,1999
1608,tt0319061,Big Fish,8.0,2003
2025,tt0401792,Sin City,8.0,2005
1843,tt0790636,Dallas Buyers Club,8.0,2013
2515,tt0382932,Ratatouille,8.0,2007
3741,tt0061184,Who's Afraid of Virginia Woolf?,8.0,1966
3559,tt0107688,The Nightmare Before Christmas,8.0,1993
2200,tt0450259,Blood Diamond,8.0,2006
3558,tt0107048,Groundhog Day,8.0,1993
3549,tt0074119,All the President's Men,8.0,1976
7,tt3659388,The Martian,8.0,2015
1467,tt1659337,The Perks of Being a Wallflower,8.0,2012
5,tt1663202,The Revenant,8.0,2015
2833,tt0103639,Aladdin,8.0,1992
2516,tt0440963,The Bourne Ultimatum,8.0,2007
3111,tt0083987,Gandhi,8.0,1982
2683,tt0088247,The Terminator,8.0,1984
3702,tt0070511,Papillon,8.0,1973
3028,tt0168629,Dancer in the Dark,8.0,2000
158,tt2015381,Guardians of the Galaxy,8.0,2014
1598,tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,8.0,2003
2181,tt0381061,Casino Royale,8.0,2006
3421,tt0063522,Rosemary's Baby,8.0,1968
1814,tt1798709,Her,8.0,2013
2761,tt0114746,Twelve Monkeys,8.0,1995
930,tt1010048,Slumdog Millionaire,8.0,2008
3419,tt0063442,Planet of the Apes,8.0,1968
3718,tt0059742,The Sound of Music,8.0,1965
3630,tt0061722,The Graduate,8.0,1967
3719,tt0059113,Doctor Zhivago,8.0,1965
1440,tt0848228,The Avengers,8.0,2012
2344,tt0378194,Kill Bill: Vol. 2,8.0,2004
3722,tt0064115,Butch Cassidy and the Sundance Kid,8.0,1969
1142,tt1454029,The Help,8.0,2011
324,tt0075686,Annie Hall,8.0,1977
2071,tt0352248,Cinderella Man,8.0,2005
3474,tt0067328,The Last Picture Show,8.0,1971
2850,tt0105323,Scent of a Woman,8.0,1992
3287,tt0102138,JFK,8.0,1991
3448,tt0072890,Dog Day Afternoon,8.0,1975
552,tt1504320,The King's Speech,8.0,2010
2406,tt0381681,Before Sunset,8.0,2004
2979,tt0117589,Secrets & Lies,8.0,1996
3430,tt0072431,Young Frankenstein,8.0,1974
2242,tt0454921,The Pursuit of Happyness,8.0,2006
3473,tt0067093,Fiddler on the Roof,8.0,1971
2978,tt0117666,Sling Blade,8.0,1996
